,Genome_ID
318,GCA_000834715.1
319,GCA_000934685.1
323,GCA_000947275.1
324,GCA_000952855.1
325,GCA_000955665.1
328,GCA_000967805.1
329,GCA_000971575.2
330,GCA_000971605.2
331,GCA_000971645.2
332,GCA_000971685.2
333,GCA_000971735.2
334,GCA_000971785.2
336,GCA_000981625.1
339,GCA_000982575.1
340,GCA_001005305.1
341,GCA_001005315.1
342,GCA_001011675.1
343,GCA_001013295.1
344,GCA_001020565.1
345,GCA_001021975.1
346,GCA_001027725.1
347,GCA_001027945.1
349,GCA_001045435.1
350,GCA_001045445.1
351,GCA_001045455.1
352,GCA_001045465.1
353,GCA_001050935.1
354,GCA_001051075.1
355,GCA_001051115.1
356,GCA_001051975.1
357,GCA_001057035.1
358,GCA_001077795.1
359,GCA_001187685.1
360,GCA_001263145.1
362,GCA_001275605.1
363,GCA_001278115.1
364,GCA_001278825.1
368,GCA_001280865.1
369,GCA_001295265.1
370,GCA_001297705.1
373,GCA_001315805.1
374,GCA_001401755.1
375,GCA_001403755.1
376,GCA_001404975.1
377,GCA_001404985.1
378,GCA_001413925.1
379,GCA_001413955.1
380,GCA_001418015.1
381,GCA_001418085.1
383,GCA_001418685.1
384,GCA_001420285.1
385,GCA_001421435.1
386,GCA_001422725.1
387,GCA_001423985.1
388,GCA_001424105.1
389,GCA_001424145.1
390,GCA_001424585.1
391,GCA_001425355.1
392,GCA_001427905.1
393,GCA_001428525.1
394,GCA_001429295.1
395,GCA_001429765.1
397,GCA_001430865.1
398,GCA_001431365.1
399,GCA_001431805.1
403,GCA_001438125.1
407,GCA_001438225.1
408,GCA_001438245.1
412,GCA_001439205.1
413,GCA_001439215.1
414,GCA_001439315.1
417,GCA_001447995.1
418,GCA_001456155.1
419,GCA_001464475.1
420,GCA_001481655.1
421,GCA_001482795.1
422,GCA_001482835.1
423,GCA_001483145.1
424,GCA_001483385.1
425,GCA_001485415.1
426,GCA_001485515.1
427,GCA_001507325.1
428,GCA_001507335.1
429,GCA_001507425.1
430,GCA_001510795.1
431,GCA_001510855.1
432,GCA_001510875.1
433,GCA_001516145.1
434,GCA_001521735.1
435,GCA_001521745.1
436,GCA_001521755.1
437,GCA_001521765.1
438,GCA_001521815.1
439,GCA_001529295.1
440,GCA_001534645.1
441,GCA_001543325.1
442,GCA_001544435.1
443,GCA_001549985.1
444,GCA_001553545.1
445,GCA_001556235.1
446,GCA_001563495.1
448,GCA_001573155.1
449,GCA_001580475.1
450,GCA_001589345.1
451,GCA_001593385.1
452,GCA_001596175.2
453,GCA_001602525.1
454,GCA_001618465.2
455,GCA_001618505.2
456,GCA_001618545.2
457,GCA_001619815.1
458,GCA_001632745.1
459,GCA_001637185.1
461,GCA_001640115.1
462,GCA_001641085.1
463,GCA_001641185.1
464,GCA_001641405.1
466,GCA_001643375.1
467,GCA_001648155.1
468,GCA_001653755.1
470,GCA_001662485.1
471,GCA_001670605.1
472,GCA_001670615.1
473,GCA_001670625.1
474,GCA_001670645.1
475,GCA_001670685.1
476,GCA_001670695.1
477,GCA_001670725.1
478,GCA_001670735.1
479,GCA_001670765.2
480,GCA_001670785.1
481,GCA_001670805.1
482,GCA_001670855.1
483,GCA_001670865.1
484,GCA_001670875.1
485,GCA_001671145.1
487,GCA_001673755.1
488,GCA_001675285.1
490,GCA_001677395.1
491,GCA_001677935.1
492,GCA_001677955.1
493,GCA_001678675.1
495,GCA_001680875.1
496,GCA_001680885.1
498,GCA_001683915.1
499,GCA_001684955.1
500,GCA_001684965.1
501,GCA_001684975.1
503,GCA_001686925.1
504,GCA_001686935.1
505,GCA_001686945.1
506,GCA_001693415.1
507,GCA_001693475.1
509,GCA_001703835.1
510,GCA_001705175.1
511,GCA_001708385.1
512,GCA_001718075.1
515,GCA_001735715.1
519,GCA_001748465.2
520,GCA_001752425.1
522,GCA_001761365.1
523,GCA_001761465.1
524,GCA_001800905.1
525,GCA_001800925.1
526,GCA_001800945.1
527,GCA_001800975.1
532,GCA_001831475.1
533,GCA_001853405.1
534,GCA_001853425.1
535,GCA_001853485.1
536,GCA_001857965.1
537,GCA_001865655.1
538,GCA_001865835.1
539,GCA_001867305.1
540,GCA_001871275.1
541,GCA_001873065.1
542,GCA_001873105.1
543,GCA_001874145.1
545,GCA_001874325.1
546,GCA_001879205.1
549,GCA_001887135.1
550,GCA_001887145.1
552,GCA_001889005.1
554,GCA_001898245.1
555,GCA_001898255.1
556,GCA_001898785.1
558,GCA_001899155.1
559,GCA_001913155.1
560,GCA_001932675.1
561,GCA_001936395.1
562,GCA_001936575.1
563,GCA_001941605.1
564,GCA_001951155.1
565,GCA_001971725.1
566,GCA_001971745.1
569,GCA_001975665.1
570,GCA_001975985.1
571,GCA_001995115.1
572,GCA_001999725.1
573,GCA_002001005.1
574,GCA_002002525.1
575,GCA_002005425.1
576,GCA_002007065.3
577,GCA_002017935.1
578,GCA_002017945.1
579,GCA_002022025.1
580,GCA_002022045.1
581,GCA_002022065.1
582,GCA_002022085.1
583,GCA_002022105.1
584,GCA_002022125.1
585,GCA_002022145.1
586,GCA_002023055.1
587,GCA_002023065.1
588,GCA_002023095.1
589,GCA_002023105.1
590,GCA_002023135.1
591,GCA_002023145.1
592,GCA_002023175.1
593,GCA_002023195.1
594,GCA_002023205.1
595,GCA_002023235.2
596,GCA_002023305.1
597,GCA_002023325.1
598,GCA_002023335.1
599,GCA_002023365.1
600,GCA_002023385.1
601,GCA_002023405.1
602,GCA_002023425.1
603,GCA_002023435.1
604,GCA_002023465.1
605,GCA_002023475.1
606,GCA_002023505.1
607,GCA_002023515.1
608,GCA_002023545.1
609,GCA_002023565.1
610,GCA_002023575.1
611,GCA_002023585.1
612,GCA_002023625.1
613,GCA_002023645.1
614,GCA_002023665.2
615,GCA_002023685.1
616,GCA_002023695.1
617,GCA_002023705.1
618,GCA_002023715.1
619,GCA_002023765.1
620,GCA_002023775.1
621,GCA_002024805.1
622,GCA_002024825.1
623,GCA_002025185.1
624,GCA_002025665.1
625,GCA_002072105.2
626,GCA_002078605.1
627,GCA_002094855.1
628,GCA_002117085.1
629,GCA_002117125.1
630,GCA_002120225.1
631,GCA_002120265.1
632,GCA_002150145.1
633,GCA_002150205.1
634,GCA_002150215.1
635,GCA_002150245.1
636,GCA_002150255.1
637,GCA_002150295.1
638,GCA_002150785.1
639,GCA_002156885.1
640,GCA_002162685.1
642,GCA_002162835.1
643,GCA_002163675.1
644,GCA_002163835.1
645,GCA_002163855.1
647,GCA_002167435.2
648,GCA_002167525.1
652,GCA_002167945.1
653,GCA_002168005.2
662,GCA_002169865.1
670,GCA_002170965.1
673,GCA_002171295.2
675,GCA_002171575.2
678,GCA_002172435.2
682,GCA_002177115.1
683,GCA_002197835.1
685,GCA_002201235.1
686,GCA_002201315.1
687,GCA_002204815.1
688,GCA_002204825.1
689,GCA_002204835.1
690,GCA_002204845.1
691,GCA_002204895.1
692,GCA_002205795.1
693,GCA_002207815.1
694,GCA_002208925.2
695,GCA_002209445.1
696,GCA_002210235.1
698,GCA_002216065.1
699,GCA_002217195.1
700,GCA_002217205.1
701,GCA_002217235.1
702,GCA_002217245.1
703,GCA_002217275.1
704,GCA_002217285.1
705,GCA_002217315.1
706,GCA_002217335.1
707,GCA_002217355.1
708,GCA_002217365.1
709,GCA_002217395.1
710,GCA_002217405.1
711,GCA_002217435.1
712,GCA_002217445.1
713,GCA_002217475.1
714,GCA_002221975.1
715,GCA_002222045.1
716,GCA_002222055.1
717,GCA_002234495.1
721,GCA_002251775.1
722,GCA_002251835.1
723,GCA_002256285.1
725,GCA_002266855.1
726,GCA_002269385.1
729,GCA_002277995.2
731,GCA_002280815.1
732,GCA_002285635.2
733,GCA_002286775.1
734,GCA_002291575.1
735,GCA_002291725.1
737,GCA_002291795.1
738,GCA_002292245.1
739,GCA_002292265.1
745,GCA_002293985.1
746,GCA_002294105.1
748,GCA_002294465.1
749,GCA_002294525.1
750,GCA_002295505.1
753,GCA_002296555.1
754,GCA_002296885.1
755,GCA_002297465.1
756,GCA_002297505.1
757,GCA_002297705.1
758,GCA_002302395.1
759,GCA_002302415.1
760,GCA_002302445.1
761,GCA_002302475.1
762,GCA_002302495.1
763,GCA_002302515.1
764,GCA_002302535.1
765,GCA_002302565.1
766,GCA_002302595.1
767,GCA_002302615.1
768,GCA_002302635.1
769,GCA_002302655.1
770,GCA_002303885.1
771,GCA_002304005.1
772,GCA_002304765.1
773,GCA_002306185.1
776,GCA_002308695.1
777,GCA_002310515.1
778,GCA_002310535.1
779,GCA_002311535.1
781,GCA_002311725.1
782,GCA_002312885.1
783,GCA_002313325.1
786,GCA_002314375.1
787,GCA_002315095.1
788,GCA_002315415.1
789,GCA_002319955.1
790,GCA_002320285.1
791,GCA_002320855.1
792,GCA_002322625.1
793,GCA_002322895.1
794,GCA_002323395.1
795,GCA_002323475.1
796,GCA_002323495.1
799,GCA_002325035.1
801,GCA_002325485.1
802,GCA_002325685.1
806,GCA_002332505.1
808,GCA_002333005.1
810,GCA_002334975.1
811,GCA_002335345.1
815,GCA_002336225.1
817,GCA_002336305.1
824,GCA_002337205.1
825,GCA_002337605.1
826,GCA_002338325.1
827,GCA_002338705.1
830,GCA_002340165.1
831,GCA_002340745.1
832,GCA_002340755.1
833,GCA_002340765.1
834,GCA_002341025.1
839,GCA_002345305.1
840,GCA_002345565.1
841,GCA_002346855.1
845,GCA_002352205.1
847,GCA_002352865.1
848,GCA_002353015.1
850,GCA_002354685.1
851,GCA_002354765.1
852,GCA_002354835.1
854,GCA_002358695.1
859,GCA_002360095.1
860,GCA_002360395.1
862,GCA_002360635.1
863,GCA_002360925.1
864,GCA_002362375.1
865,GCA_002362875.1
866,GCA_002363835.1
867,GCA_002363855.1
868,GCA_002363875.1
869,GCA_002364135.1
870,GCA_002364215.1
871,GCA_002364245.1
872,GCA_002364255.1
873,GCA_002364325.1
874,GCA_002364335.1
875,GCA_002364385.1
876,GCA_002364405.1
877,GCA_002364535.1
879,GCA_002365095.1
881,GCA_002365405.1
883,GCA_002365615.1
884,GCA_002366675.1
885,GCA_002367645.1
887,GCA_002375245.1
888,GCA_002375495.1
889,GCA_002375625.1
890,GCA_002375695.1
891,GCA_002376145.1
893,GCA_002376925.1
895,GCA_002378465.1
897,GCA_002378585.1
900,GCA_002379575.1
901,GCA_002379725.1
902,GCA_002379965.1
904,GCA_002380515.1
906,GCA_002380565.1
909,GCA_002382405.1
910,GCA_002382495.1
911,GCA_002382825.1
912,GCA_002383055.1
913,GCA_002383165.1
915,GCA_002384055.1
916,GCA_002384125.1
917,GCA_002384245.1
918,GCA_002384345.1
920,GCA_002384715.1
922,GCA_002384895.1
924,GCA_002387575.1
927,GCA_002388405.1
928,GCA_002388445.1
930,GCA_002388705.1
931,GCA_002388845.1
932,GCA_002388855.1
934,GCA_002389235.1
937,GCA_002389405.1
940,GCA_002389535.1
945,GCA_002390125.1
946,GCA_002390165.1
949,GCA_002390455.1
951,GCA_002390585.1
952,GCA_002390605.1
955,GCA_002390665.1
958,GCA_002390905.1
959,GCA_002391865.1
960,GCA_002392055.1
963,GCA_002399805.1
972,GCA_002403645.1
973,GCA_002403935.1
977,GCA_002413625.1
978,GCA_002413745.1
979,GCA_002414425.1
980,GCA_002414565.1
981,GCA_002414635.1
983,GCA_002414725.1
984,GCA_002415015.1
986,GCA_002415135.1
987,GCA_002415175.1
988,GCA_002415215.1
992,GCA_002420545.1
993,GCA_002421065.1
994,GCA_002421305.1
995,GCA_002421645.1
996,GCA_002422095.1
1001,GCA_002425465.1
1002,GCA_002426015.1
1003,GCA_002426065.1
1004,GCA_002426075.1
1006,GCA_002426755.1
1007,GCA_002426785.1
1011,GCA_002427935.1
1012,GCA_002428305.1
1013,GCA_002428965.1
1016,GCA_002429185.1
1017,GCA_002429285.1
1018,GCA_002429685.1
1019,GCA_002429865.1
1020,GCA_002430025.1
1021,GCA_002430205.1
1022,GCA_002430445.1
1023,GCA_002430455.1
1024,GCA_002430545.1
1027,GCA_002431085.1
1030,GCA_002433125.1
1031,GCA_002433505.1
1032,GCA_002433745.1
1033,GCA_002434285.1
1034,GCA_002435045.1
1035,GCA_002435115.1
1036,GCA_002435265.1
1038,GCA_002439125.1
1039,GCA_002439165.1
1040,GCA_002440405.1
1041,GCA_002440605.1
1042,GCA_002440705.1
1043,GCA_002441475.1
1044,GCA_002441545.1
1048,GCA_002452945.1
1049,GCA_002452975.1
1050,GCA_002453005.1
1051,GCA_002453015.1
1052,GCA_002453055.1
1053,GCA_002453075.1
1054,GCA_002453085.1
1058,GCA_002453775.1
1059,GCA_002453895.1
