AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_002813425.1	PRJNA311483	SAMN04515664	SRR4184868
GCA_002831625.1	PRJNA420923	SAMN08125769	SRR6339865
GCA_002831645.1	PRJNA420923	SAMN08125748	SRR6339881
GCA_002831665.1	PRJNA420923	SAMN08125751	SRR6339884
GCA_002831685.1	PRJNA420923	SAMN08125741	SRR6339903,SRR6339904
GCA_002836055.1	PRJNA420923	SAMN08125772	SRR6339885
GCA_002836085.1	PRJNA420923	SAMN08125732	SRR6339869,SRR6339870
GCA_002836475.1	PRJNA420923	SAMN08125742	SRR6339902,SRR6339907
GCA_002836595.1	PRJNA420923	SAMN08125750	SRR6339883
GCA_002843925.1	PRJNA397081	SAMN08100548	SRR7474359,SRR7474361
GCA_002843945.1	PRJNA397081	SAMN08100549	SRR7474358,SRR7474360
GCA_002846555.1	PRJNA303195	SAMN04489736	SRR4184793,SRR4184794
GCA_002846575.1	PRJNA369973	SAMN06295982	SRR5832151
GCA_002846595.1	PRJNA303201	SAMN04487763	SRR4131418,SRR4131419
GCA_002900095.1	PRJNA297772	SAMN04145778	SRR2954322,SRR2993971,SRR2993974
GCA_002917885.1	PRJNA221032	SAMN02745914	SRR5947202
GCA_002934445.1	PRJNA262290	SAMN05661059	SRR4136538
GCA_002943655.1	PRJNA354433	SAMN06049054	SRR5064657
GCA_002943675.1	PRJNA354433	SAMN06049055	SRR5064658
GCA_002951395.1	PRJNA231221	SAMN03996277	SRR2819858,SRR2819859,SRR2819860,SRR2819861
GCA_002951455.1	PRJNA231221	SAMN03996278	SRR2819876,SRR2819877,SRR2819878
GCA_002973595.1	PRJNA402455	SAMN07621184	SRR6479508
GCA_002979455.1	PRJNA400855	SAMN07581391	SRR6003498
GCA_002979665.1	PRJNA400855	SAMN07581378	SRR6003503
GCA_002979755.1	PRJNA400855	SAMN07581367	SRR6003474
GCA_002995685.1	PRJNA301708	SAMN07626220	SRR9332767
GCA_002995695.1	PRJNA301708	SAMN07626194	SRR9332369
GCA_002995725.1	PRJNA301708	SAMN07626221	SRR9332766
GCA_003001695.1	PRJNA402503	SAMN07621739	SRR6479729
GCA_003001855.1	PRJNA262291	SAMN05660360	SRR4136550
GCA_003001895.1	PRJNA262350	SAMN05661042	SRR4136555
GCA_003003155.1	PRJNA331351	SAMN05443284	SRR5188341
GCA_003053575.1	PRJNA443344	SAMN08778886	SRR7050917
GCA_003054025.1	PRJNA443918	SAMN08779108	SRR6994745
GCA_003054225.1	PRJNA443917	SAMN08779100	SRR6994681
GCA_003054265.1	PRJNA443697	SAMN08778573	SRR6994169
GCA_003058195.1	PRJNA443345	SAMN08778887	SRR7050933
GCA_003096795.1	PRJNA442005	SAMN08777884	SRR6976419
GCA_003146745.1	PRJNA471682	SAMN09213693	SRR7171192
GCA_003148525.1	PRJNA331476	SAMN05444378	SRR5188954
GCA_003148645.1	PRJNA262266	SAMN05660201	SRR4136544
GCA_003148665.1	PRJNA262280	SAMN05660747	SRR4136561
GCA_003182335.1	PRJNA456354	SAMN09083436	SRR7165865
GCA_003201365.1	PRJNA442329	SAMN08775268	SRR7130793
GCA_003201775.1	PRJNA441693	SAMN08777840	SRR7051016
GCA_003208535.1	PRJNA443418	SAMN08776790	SRR7050929
GCA_003217215.1	PRJNA463316	SAMN09074750	SRR7177916
GCA_003217415.1	PRJNA443420	SAMN08776789	SRR7050916
GCA_003253545.1	PRJNA262284	SAMN05660441	SRR4136540
GCA_003254015.1	PRJNA262286	SAMN05660418	SRR4136553
GCA_003254095.1	PRJNA262346	SAMN05660468	SRR4136559
GCA_003259265.1	PRJNA262265	SAMN05660858	SRR4140132
GCA_003259375.1	PRJNA262075	SAMN03080605	SRR4136506
GCA_003259525.1	PRJNA262297	SAMN05660851	SRR4136523
GCA_003259835.1	PRJNA370086	SAMN06297150	SRR5851934
GCA_003268815.1	PRJNA370093	SAMN06296443	SRR5851896
GCA_003268855.1	PRJNA402477	SAMN07621123	SRR6479700
GCA_003290185.1	PRJNA478515	SAMN09519149	SRR8206969
GCA_003315315.1	PRJNA463392	SAMN09074770	SRR7174960
GCA_003333325.1	PRJNA478776	SAMN09531218	SRR8469253
GCA_003337305.1	PRJNA463313	SAMN09074796	SRR7178576
GCA_003350375.1	PRJNA456356	SAMN09083415	SRR7167169
GCA_003350545.1	PRJNA463393	SAMN09074696	SRR7174198
GCA_003353425.1	PRJNA442666	SAMN08776299	SRR7084663
GCA_003384775.1	PRJNA463446	SAMN09081300	SRR7690589
GCA_003384935.1	PRJNA364304	SAMN06265796	SRR5216682
GCA_003385115.1	PRJNA443920	SAMN08778575	SRR6995984
GCA_003385395.1	PRJNA478511	SAMN09519125	SRR8206627
GCA_003385415.1	PRJNA478516	SAMN09519150	SRR8208617
GCA_003385455.1	PRJNA478510	SAMN09519126	SRR8208763
GCA_003385495.1	PRJNA478513	SAMN09519129	SRR8206615
GCA_003385535.1	PRJNA478528	SAMN09519215	SRR8207343
GCA_003385595.1	PRJNA478512	SAMN09519128	SRR8206624
GCA_003385855.1	PRJNA441692	SAMN08776694	SRR7051008
GCA_003385895.1	PRJNA335219	SAMN05444268	SRR4237185
GCA_003386165.1	PRJNA463315	SAMN09075500	SRR7175532
GCA_003386195.1	PRJNA463307	SAMN09074747	SRR7178568
GCA_003386275.1	PRJNA463314	SAMN09074797	SRR7176697
GCA_003386855.1	PRJNA443417	SAMN08778959	SRR7050932
GCA_003387355.1	PRJNA443692	SAMN08779097	SRR6995042
GCA_003387615.1	PRJNA439989	SAMN08770175	SRR7081629
GCA_003445055.1	PRJNA417962	SAMN08017447	SRR6482661
GCA_003447055.1	PRJNA417962	SAMN08017564	SRR6486288
GCA_003447455.1	PRJNA417962	SAMN08017534	SRR6482878
GCA_003448295.1	PRJNA417962	SAMN08017473	SRR6482577
GCA_003449565.1	PRJNA417962	SAMN08017745	SRR6485826
GCA_003449615.1	PRJNA417962	SAMN08017742	SRR6485963
GCA_003450155.1	PRJNA417962	SAMN08017703	SRR6485869
GCA_003450275.1	PRJNA417962	SAMN08017759	SRR6485693
GCA_003450515.1	PRJNA417962	SAMN08017719	SRR6487909
GCA_003454375.1	PRJNA417962	SAMN08017831	SRR6488219
GCA_003455775.1	PRJNA417962	SAMN08017984	SRR6485982
GCA_003455795.1	PRJNA417962	SAMN08017986	SRR6807478
GCA_003457445.1	PRJNA417962	SAMN08017881	SRR6482321
GCA_003476275.1	PRJNA417962	SAMN08018105	SRR6483171
GCA_003476385.1	PRJNA417962	SAMN08018094	SRR6482837
GCA_003476525.1	PRJNA417962	SAMN08018607	SRR6483060
GCA_003482965.1	PRJNA417962	SAMN08017539	SRR6488330
GCA_003483305.1	PRJNA417962	SAMN08018149	SRR6486484
GCA_003484045.1	PRJNA417962	SAMN08018152	SRR6485702
GCA_003484565.1	PRJNA417962	SAMN08019065	SRR6486143
GCA_003487285.1	PRJNA417962	SAMN08018362	SRR6485779
GCA_003487925.1	PRJNA417962	SAMN08018580	SRR6486321
GCA_003488565.1	PRJNA417962	SAMN08018535	SRR6485838
GCA_003497625.1	PRJNA417962	SAMN08018598	SRR6488210
GCA_003504555.1	PRJNA417962	SAMN08018928	SRR6482866
GCA_003506665.1	PRJNA417962	SAMN08018903	SRR6488058
GCA_003506685.1	PRJNA417962	SAMN08018902	SRR6485974
GCA_003507715.1	PRJNA417962	SAMN08020145	SRR6486185
GCA_003507755.1	PRJNA417962	SAMN08018789	SRR6807479
GCA_003510655.1	PRJNA417962	SAMN08019229	SRR6485825
GCA_003511565.1	PRJNA417962	SAMN08019754	SRR6482939
GCA_003511625.1	PRJNA417962	SAMN08019169	SRR6482552
GCA_003511845.1	PRJNA417962	SAMN08019124	SRR6486076
GCA_003511865.1	PRJNA417962	SAMN08019125	SRR6486490
GCA_003513105.1	PRJNA417962	SAMN08019406	SRR6487577
GCA_003513625.1	PRJNA417962	SAMN08019311	SRR6486241
GCA_003514105.1	PRJNA417962	SAMN08019393	SRR6482291
GCA_003515005.1	PRJNA417962	SAMN08019289	SRR6482867
GCA_003516285.1	PRJNA417962	SAMN08019562	SRR6485999
GCA_003516945.1	PRJNA417962	SAMN08019537	SRR6486334
GCA_003517005.1	PRJNA417962	SAMN08019535	SRR6485891
GCA_003517615.1	PRJNA417962	SAMN08017606	SRR6482230
GCA_003520985.1	PRJNA417962	SAMN08017572	SRR6488256
GCA_003523505.1	PRJNA417962	SAMN08020281	SRR6488018
GCA_003524725.1	PRJNA417962	SAMN08020454	SRR6486021
GCA_003525065.1	PRJNA417962	SAMN08020427	SRR6486599
GCA_003525665.1	PRJNA417962	SAMN08019758	SRR6487555
GCA_003526165.1	PRJNA417962	SAMN08019266	SRR6482920
GCA_003529725.1	PRJNA417962	SAMN08020149	SRR6488048
GCA_003529845.1	PRJNA417962	SAMN08020139	SRR6486004
GCA_003533615.1	PRJNA417962	SAMN08019635	SRR6482448
GCA_003533785.1	PRJNA417962	SAMN08019602	SRR6487774
GCA_003534545.1	PRJNA417962	SAMN08019579	SRR6482700
GCA_003536155.1	PRJNA417962	SAMN08020267	SRR6485801
GCA_003537025.1	PRJNA417962	SAMN08019858	SRR6487985
GCA_003537695.1	PRJNA417962	SAMN08020047	SRR6485650
GCA_003538255.1	PRJNA417962	SAMN08019973	SRR6482773
GCA_003538555.1	PRJNA417962	SAMN08020067	SRR6485945
GCA_003538685.1	PRJNA417962	SAMN08020054	SRR6483066
GCA_003541615.1	PRJNA417962	SAMN08019501	SRR6486478
GCA_003545615.1	PRJNA417962	SAMN08019011	SRR6486054
GCA_003550275.1	PRJNA265355	SAMN09725931	SRR7777323,SRR7777324
GCA_003585975.1	PRJNA369395	SAMN07549752	SRR5970153
GCA_003610635.1	PRJNA363571	SAMN06265172	SRR5889151,SRR5889152
GCA_003610675.1	PRJNA456353	SAMN09083413	SRR7165864
GCA_003610695.1	PRJNA363549	SAMN06264362	SRR5889142,SRR5889143
GCA_003610735.1	PRJNA443677	SAMN08778569	SRR6995012
GCA_003614945.1	PRJNA490389	SAMN10035131	SRR7820386,SRR7820387
GCA_003626815.1	PRJNA493226	SAMN10134658	SRR7908905
GCA_003626835.1	PRJNA493226	SAMN10134657	SRR7908902
GCA_003626845.1	PRJNA493226	SAMN10134656	SRR7908903
GCA_003626865.1	PRJNA493226	SAMN10134659	SRR7908904
GCA_003633595.1	PRJNA463424	SAMN09083223	SRR7690683
GCA_003633605.1	PRJNA442007	SAMN08777141	SRR6976459,SRR6976460
GCA_003633785.1	PRJNA442002	SAMN08777882	SRR6976416
GCA_003633855.1	PRJNA463265	SAMN09075508	SRR8090342
GCA_003634105.1	PRJNA402513	SAMN07621896	SRR6479702
GCA_003634455.1	PRJNA402516	SAMN07620976	SRR6480807
GCA_003634585.1	PRJNA331690	SAMN05444482	SRR5188563
GCA_003634615.1	PRJNA442004	SAMN08776973	SRR6976445,SRR6976446
GCA_003634755.1	PRJNA331680	SAMN05444393	SRR5188340
GCA_003634775.1	PRJNA329859	SAMN05421836	SRR4233948
GCA_003634825.1	PRJNA442008	SAMN08777886	SRR6976496
GCA_003663835.1	PRJNA402472	SAMN07621112	SRR6479521
GCA_003663845.1	PRJNA402419	SAMN07626147	SRR6824069
GCA_003663945.1	PRJNA402508	SAMN07621379	SRR6480667
GCA_003664185.1	PRJNA443678	SAMN08779091	SRR6995013
GCA_003688345.1	PRJNA443421	SAMN08778960	SRR7051004
GCA_003688405.1	PRJNA363566	SAMN06264851	SRR5889120,SRR5889121
GCA_003688495.1	PRJNA331689	SAMN05443664	SRR5188387
GCA_003688785.1	PRJNA463264	SAMN09075507	SRR7991963
GCA_003729935.1	PRJNA498534	SAMN10343186	SRR9616324
GCA_003729955.1	PRJNA329851	SAMN05421667	SRR4234501,SRR9616323
GCA_003729975.1	PRJNA498534	SAMN10343175	SRR9616100
GCA_003730065.1	PRJNA498690	SAMN10343198	SRR9615770
GCA_003755145.1	PRJNA501393	SAMN10361609	SRR8450064
GCA_003795085.1	PRJNA494285	SAMN10160287	SRR7957427,SRR7957428
GCA_003812605.1	PRJNA231221	SAMN10163232	SRR8180784,SRR8180785
GCA_003812705.1	PRJNA231221	SAMN10163213	SRR8179978,SRR8179979
GCA_003812865.1	PRJNA231221	SAMN10163204	SRR8179781,SRR8179782,SRR8179783
GCA_003815775.1	PRJNA329760	SAMN05421768	SRR4235430
GCA_003815915.1	PRJNA329757	SAMN05421682	SRR4235429
GCA_003852675.1	PRJNA488075	SAMN10241238	SRR8349673
GCA_003935165.1	PRJNA497126	SAMN10249129	SRR10094385
GCA_003935845.1	PRJNA497126	SAMN10249043	SRR10094384
GCA_004010225.1	PRJNA508812	SAMN10531269	SRR8380174
GCA_004104035.1	PRJNA477923	SAMN09487581	SRR7609854
GCA_004104045.1	PRJNA477923	SAMN09487583	SRR7609850
GCA_004104055.1	PRJNA477923	SAMN09487585	SRR7609852
GCA_004104075.1	PRJNA477923	SAMN09487584	SRR7609853
GCA_004104115.1	PRJNA477923	SAMN09487586	SRR7609851
GCA_004104375.1	PRJNA477923	SAMN09487582	SRR7609849
GCA_004139715.1	PRJNA515365	SAMN10754312	SRR8453750
GCA_004151365.1	PRJNA516864	SAMN10805331	SRR8492866
GCA_004216895.1	PRJNA519309	SAMN10864810	SRR8552460
GCA_004339485.1	PRJNA463443	SAMN09075523	SRR7690685
GCA_004339525.1	PRJNA442003	SAMN08777883	SRR6976410
GCA_004341235.1	PRJNA519308	SAMN10864849	SRR8552808
GCA_004341805.1	PRJNA443419	SAMN08779400	SRR7974079
GCA_004345565.1	PRJNA519255	SAMN10864715	SRR8872445
GCA_004345825.1	PRJNA519307	SAMN10864689	SRR8552539
GCA_004346845.1	PRJNA463310	SAMN09075499	SRR7178555
GCA_004359195.1	PRJNA526595	SAMN11104548	SRR10566898,SRR10566899
GCA_004362015.1	PRJNA519256	SAMN10872010	SRR8872444
GCA_004362055.1	PRJNA519258	SAMN10871969	SRR8872450
GCA_004362395.1	PRJNA456208	SAMN09083230	SRR7522752
GCA_004362665.1	PRJNA331475	SAMN05443430	SRR4237190
GCA_004362865.1	PRJNA402504	SAMN07621945	SRR6479502
GCA_004363005.1	PRJNA463312	SAMN09074749	SRR7178075
GCA_004363695.1	PRJNA442652	SAMN08775554	SRR7081675
GCA_004364165.1	PRJNA402512	SAMN07621485	SRR6479551
GCA_004364175.1	PRJNA463308	SAMN09074795	SRR7178557
GCA_004364575.1	PRJNA443923	SAMN08778583	SRR6994747
GCA_004364975.1	PRJNA363573	SAMN06264850	SRR5888850,SRR5888851
GCA_004365465.1	PRJNA329851	SAMN05421667	SRR4234501,SRR9616323
GCA_004365655.1	PRJNA370105	SAMN06296490	SRR5851863
GCA_004366435.1	PRJNA500189	SAMN10362893	SRR8442623
GCA_004366715.1	PRJNA323125	SAMN05216211	SRR4216919
GCA_004368785.1	PRJNA519257	SAMN10872066	SRR8872449
GCA_004368925.1	PRJNA463311	SAMN09074748	SRR7177878
GCA_004684835.1	PRJNA530066	SAMN11292555	SRR8820610
GCA_005234115.1	PRJNA540378	SAMN11533985	SRR9643623,SRR9643624
GCA_005771495.1	PRJNA516506	SAMN10790461	SRR8480426
GCA_005862425.1	PRJNA551338	SAMN11784656	SRR9599513
GCA_006088815.1	PRJNA542207	SAMN11616642	SRR9038698
GCA_006383075.2	PRJNA524487	SAMN11028936	SRR8655101,SRR8655102,SRR8655103,SRR8655104,SRR8655105,SRR8655106,SRR8655107,SRR8655108,SRR8655109,SRR8655110
GCA_006714895.1	PRJNA257842	SAMN02982988	SRR4136155,SRR4136156,SRR4136157,SRR4136158
GCA_006716485.1	PRJNA538303	SAMN11512334	SRR9008716
GCA_006716585.1	PRJNA331397	SAMN05444419	SRR9002702,SRR9002703
GCA_006777745.1	PRJDB8143	SAMD00166971	DRR182481
GCA_006777825.1	PRJDB8143	SAMD00166972	DRR182482
GCA_006777945.1	PRJDB8143	SAMD00166973	DRR182483
GCA_006778065.1	PRJDB8143	SAMD00166974	DRR182484
GCA_006778185.1	PRJDB8143	SAMD00166975	DRR182485
GCA_006778265.1	PRJDB8143	SAMD00166976	DRR182486
GCA_006778345.1	PRJDB8146	SAMD00166977	DRR182487
GCA_006778465.1	PRJDB8146	SAMD00166978	DRR182488
GCA_006778585.1	PRJDB8146	SAMD00166979	DRR182489
GCA_006789585.1	PRJNA251764	SAMN02841241	SRR4131425,SRR4131426
GCA_007827205.1	PRJNA257843	SAMN02982924	SRR4136165,SRR4136166
GCA_007827235.1	PRJNA257844	SAMN02982926	SRR4136167,SRR4136168,SRR4136169
GCA_007827275.1	PRJNA257846	SAMN02982995	SRR4136177,SRR4136178,SRR4136179
GCA_007827285.1	PRJNA257847	SAMN02982925	SRR4136159,SRR4136160,SRR4136161
GCA_007827365.1	PRJNA257845	SAMN02982923	SRR4136145,SRR4136146
GCA_007827445.1	PRJNA263060	SAMN03097713	SRR4136239,SRR4136240,SRR4136241
GCA_007827455.1	PRJNA265337	SAMN03159350	SRR4136227,SRR4136228,SRR4136229,SRR4136230
GCA_007827465.1	PRJNA265336	SAMN03159389	SRR4136225,SRR4136226
GCA_007830355.1	PRJNA255589	SAMN02927910	SRR4128944
GCA_007830385.1	PRJNA255581	SAMN02927909	SRR4128935
GCA_007830415.1	PRJNA255580	SAMN02927917	SRR4128938
GCA_007830645.1	PRJNA257852	SAMN02983007	SRR4136211
GCA_007994155.1	PRJNA255585	SAMN02927918	SRR4128939
GCA_007997065.1	PRJNA516257	SAMN10785754	SRR8475266
GCA_007997075.1	PRJNA516257	SAMN10785756	SRR8475267
GCA_007997085.1	PRJNA516257	SAMN10785755	SRR8475265
GCA_007997115.1	PRJNA516255	SAMN10785750	SRR8475046
GCA_007997135.1	PRJNA516242	SAMN10785581	SRR8475061
GCA_007997155.1	PRJNA516237	SAMN10785479	SRR8475247
GCA_007997205.1	PRJNA516274	SAMN10785759	SRR8475066
GCA_007997225.1	PRJNA516274	SAMN10785758	SRR8475067
GCA_007997235.1	PRJNA516274	SAMN10785760	SRR8475068
GCA_007997285.1	PRJNA516489	SAMN10790396	SRR8479166
GCA_007997295.1	PRJNA516490	SAMN10790397	SRR8479167
GCA_007997315.1	PRJNA516495	SAMN10790446	SRR8479168
GCA_007997375.1	PRJNA516484	SAMN10790307	SRR8479156
GCA_008017345.1	PRJNA556639	SAMN12361243	SRR9833280
GCA_008017365.1	PRJNA556639	SAMN12361242	SRR9833279
GCA_008086165.1	PRJNA516480	SAMN10790302	SRR8475272
GCA_008086175.1	PRJNA516480	SAMN10790303	SRR8475269
GCA_008086185.1	PRJNA516480	SAMN10790304	SRR8475270
GCA_008086205.1	PRJNA516480	SAMN10790221	SRR8475271
GCA_008124555.1	PRJNA262262	SAMN12292086	SRR10031112
GCA_008124785.1	PRJNA335181	SAMN12255749	SRR10032983
GCA_008124875.1	PRJNA439988	SAMN12255867	SRR10036014
GCA_008386485.1	PRJNA561623	SAMN12659179	SRR10056317
GCA_009495795.1	PRJNA566314	SAMN12999582	SRR10716345
GCA_009495835.1	PRJNA566314	SAMN12999583	SRR10716344
GCA_009659645.1	PRJNA501809	SAMN10346254	SRR8163628
GCA_009659665.1	PRJNA501809	SAMN10346265	SRR8163629
GCA_009659705.1	PRJNA501809	SAMN10346233	SRR8163630
GCA_009664855.1	PRJNA588149	SAMN13229200	SRR10416295
GCA_009674815.1	PRJNA588991	SAMN13262566	SRR10489180
GCA_009684755.1	PRJDB6886	SAMD00129980	DRR141376
GCA_009684775.1	PRJDB6886	SAMD00129981	DRR141377
GCA_009697265.1	PRJNA589371	SAMN13281618	SRR10441469,SRR10441470
GCA_009707955.1	PRJNA590367	SAMN13326087	SRR10491695
GCA_009711135.1	PRJNA590383	SAMN13326188	SRR10491733
GCA_009711165.1	PRJNA590385	SAMN13326195	SRR10512425
GCA_009730375.1	PRJNA231221	SAMN11056452	SRR9176580,SRR9176581,SRR9176582,SRR9176583
GCA_009832605.1	PRJNA598108	SAMN13698508	SRR10874259
GCA_009834475.1	PRJNA302201	SAMN04270324	SRR2917669
GCA_011049845.1	PRJNA480137	SAMN09638548	SRR1555744,SRR7787053
GCA_011050015.1	PRJNA480137	SAMN09638538	SRR1555744,SRR7786997
GCA_011050085.1	PRJNA480137	SAMN09638534	SRR1555744,SRR7787321
GCA_011050675.1	PRJNA480137	SAMN09638505	SRR1555743,SRR1555748,SRR7787738
GCA_011064265.1	PRJNA382862	SAMN06718532	SRR5506627
GCA_011330545.1	PRJNA480137	SAMN09638793	SRR4453772,SRR7787094
GCA_011601185.1	PRJNA611991	SAMN14355042	SRR11290205
GCA_011601205.1	PRJNA611991	SAMN14355044	SRR11290203
GCA_011601245.1	PRJNA611991	SAMN14355043	SRR11290204
GCA_011752975.1	PRJNA564151	SAMN12703561	SRR10136613
GCA_011762155.1	PRJNA546625	SAMN12025951	SRR10918069
GCA_011764015.1	PRJNA604661	SAMN13978098	SRR11110036
GCA_011927765.1	PRJNA583511	SAMN13172207	SRR10873103
GCA_012273135.1	PRJNA231221	SAMN11056363	SRR8984807,SRR8984808,SRR8984809
GCA_012273575.1	PRJNA622823	SAMN14530202	SRR11507302,SRR11507303,SRR11507304,SRR11507305
GCA_012273615.1	PRJNA231221	SAMN11056351	SRR8984843,SRR8984844,SRR8984845,SRR8984846,SRR8984847
GCA_012932585.1	PRJNA547194	SAMN12024199	SRR10150419
GCA_012959395.1	PRJNA522654	SAMN10967683	SRR3577362,SRR8626037
GCA_012963555.1	PRJNA522654	SAMN10967480	SRR2046221,SRR2046222,SRR2046235,SRR2046236,SRR2046237,SRR2046238,SRR8626114
GCA_012964435.1	PRJNA522654	SAMN10967440	SRR1217461,SRR1217465,SRR8626166
GCA_012964565.1	PRJNA522654	SAMN10967439	SRR1217461,SRR1217465,SRR8626165
GCA_013285155.1	PRJNA305687	SAMN15082204	SRR11912324,SRR11912325
GCA_013294005.1	PRJNA632162	SAMN14915976	SRR12398553
GCA_013294015.1	PRJNA632166	SAMN14915977	SRR12398628
GCA_013294025.1	PRJNA632163	SAMN14916000	SRR12398555
GCA_013294075.1	PRJNA632165	SAMN14915969	SRR12398603
GCA_013372885.1	PRJNA553557	SAMN14488429	SRR11451970
GCA_013373105.1	PRJNA553557	SAMN14488419	SRR11451981
GCA_013373385.1	PRJNA553557	SAMN14488407	SRR11451994
GCA_013373485.1	PRJNA553557	SAMN14488403	SRR11451962
GCA_013373635.1	PRJNA553557	SAMN14488397	SRR11451996
GCA_013401995.1	PRJNA644228	SAMN15455295	SRR12149333
GCA_013407935.1	PRJNA581034	SAMN13189930	SRR10998594
GCA_013410675.1	PRJNA632196	SAMN14915980	SRR12390497
GCA_013426055.1	PRJNA633452	SAMN14943929	SRR11814644
GCA_014138495.1	PRJNA583281	SAMN13173219	SRR10917973
GCA_014191595.1	PRJNA546705	SAMN12025524	SRR10076624
GCA_014197445.1	PRJNA583291	SAMN13172995	SRR10873035
GCA_014201785.1	PRJNA632132	SAMN14908556	SRR12223829
GCA_014202195.1	PRJNA632252	SAMN14908553	SRR12223659
GCA_014202225.1	PRJNA632253	SAMN14908471	SRR12223660
GCA_014204235.1	PRJNA632085	SAMN14908331	SRR12415465
GCA_014204385.1	PRJNA632100	SAMN14908299	SRR12415962
GCA_014204415.1	PRJNA632101	SAMN14908259	SRR12416115
GCA_014207835.1	PRJNA632087	SAMN14908332	SRR12415603
GCA_014207845.1	PRJNA632099	SAMN14986206	SRR12415950
GCA_014207905.1	PRJNA632098	SAMN14908321	SRR12415944
GCA_014486695.1	PRJNA660093	SAMN15935543	SRR12544798
GCA_900018365.1	PRJNA292838	SAMN03992719	SRR4148500
GCA_900099675.1	PRJNA329885	SAMN05421818	SRR4233937
GCA_900099685.1	PRJNA329843	SAMN05421846	SRR4234569
GCA_900099815.1	PRJNA303491	SAMN04488027	SRR4164019
GCA_900099915.1	PRJNA303430	SAMN04488062	SRR4159299
GCA_900099995.1	PRJNA303841	SAMN04489796	SRR4181649
GCA_900100075.1	PRJNA329874	SAMN05421542	SRR4234949
GCA_900100115.1	PRJNA329827	SAMN05421664	SRR4234607
GCA_900100165.1	PRJNA323261	SAMN05192550	SRR4187678
GCA_900100375.1	PRJNA303292	SAMN04487935	SRR4159522
GCA_900100625.1	PRJNA255583	SAMN02927925	SRR4128943
GCA_900101765.1	PRJNA323167	SAMN05192588	SRR4136250,SRR4136251
GCA_900101815.1	PRJNA330491	SAMN05421636	SRR4235435
GCA_900101855.1	PRJNA255577	SAMN02927916	SRR4128927
GCA_900101895.1	PRJNA255582	SAMN02927903	SRR4128929
GCA_900101925.1	PRJNA221035	SAMN02745938	SRR4051975
GCA_900101995.1	PRJNA329893	SAMN05421544	SRR4233939
GCA_900102055.1	PRJNA329828	SAMN05421855	SRR4233906
GCA_900102165.1	PRJNA303399	SAMN04487992	SRR4163854
GCA_900102265.1	PRJNA329877	SAMN05421825	SRR4234948
GCA_900102915.1	PRJNA303832	SAMN04488140	SRR4159334
GCA_900102925.1	PRJNA323129	SAMN05216294	SRR4217059
GCA_900103215.1	PRJNA303598	SAMN04488514	SRR4164046
GCA_900103755.1	PRJNA323093	SAMN05216273	SRR4218294
GCA_900104195.1	PRJNA303728	SAMN04489756	SRR4181682
GCA_900104375.1	PRJNA263069	SAMN03097699	SRR4136233,SRR4136234
GCA_900104765.1	PRJNA303200	SAMN04487764	SRR4136235,SRR4136236,SRR4136237
GCA_900104785.1	PRJNA311478	SAMN04515667	SRR4184870,SRR4184871
GCA_900105035.1	PRJNA303206	SAMN04488552	SRR4184821,SRR4184822
GCA_900105105.1	PRJNA323166	SAMN05192545	SRR4130918,SRR4130940
GCA_900105135.1	PRJNA303205	SAMN04488553	SRR4184859,SRR4184860
GCA_900105145.1	PRJNA322881	SAMN05216503	SRR4235982,SRR4235983,SRR4235984
GCA_900105425.1	PRJNA303202	SAMN04489797	SRR4184866,SRR4184867
GCA_900105455.1	PRJNA303204	SAMN04489761	SRR4184802,SRR4184803
GCA_900105545.1	PRJNA323165	SAMN05192540	SRR4131116
GCA_900105985.1	PRJNA303199	SAMN04487765	SRR4136231,SRR4136232
GCA_900106075.1	PRJNA303193	SAMN04487762	SRR4131421,SRR4131422
GCA_900106565.1	PRJNA331369	SAMN05444411	SRR4237013
GCA_900106575.1	PRJNA331404	SAMN05444420	SRR4236991
GCA_900106645.1	PRJNA335176	SAMN05444338	SRR4236995
GCA_900106795.1	PRJNA323084	SAMN05216556	SRR4217037
GCA_900106825.1	PRJNA303348	SAMN04487892	SRR4156224
GCA_900106865.1	PRJNA331485	SAMN05444353	SRR4236972
GCA_900107365.1	PRJNA335180	SAMN05444397	SRR4236999
GCA_900107495.1	PRJNA303484	SAMN04488034	SRR4164034
GCA_900107595.1	PRJNA329844	SAMN05421540	SRR4233935
GCA_900107625.1	PRJNA303401	SAMN04487990	SRR4169744
GCA_900107635.1	PRJNA331681	SAMN05443667	SRR4237005
GCA_900108015.1	PRJNA303887	SAMN04488130	SRR4159525
GCA_900108025.1	PRJNA329841	SAMN05421847	SRR4234947
GCA_900108115.1	PRJNA262259	SAMN05660493	SRR4136427
GCA_900108365.1	PRJNA329842	SAMN05421593	SRR4234951
GCA_900108395.1	PRJNA255584	SAMN02927937	SRR4128942
GCA_900108525.1	PRJNA330500	SAMN05421793	SRR4235438
GCA_900108955.1	PRJNA262309	SAMN05660918	SRR4140133
GCA_900109075.1	PRJNA303501	SAMN04488018	SRR4159284
GCA_900109345.1	PRJNA303420	SAMN04488008	SRR4163871
GCA_900109375.1	PRJNA303316	SAMN04487910	SRR4163858
GCA_900109615.1	PRJNA329764	SAMN05421765	SRR4235440
GCA_900109935.1	PRJNA329826	SAMN05421856	SRR4234651
GCA_900110335.1	PRJNA303370	SAMN04487978	SRR4156436
