AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_001481655.1	PRJNA302352	SAMN04270979	SRR3056854
GCA_001482795.1	PRJNA302576	SAMN04272205	SRR3014087
GCA_001482835.1	PRJNA302583	SAMN04272208	SRR3022546
GCA_001529295.1	PRJNA297146	SAMN04166283	SRR2842451
GCA_001543325.1	PRJNA304382	SAMN04299808	SRR3085341,SRR3085362
GCA_001580475.1	PRJNA276168	SAMN03382583	SRR10255744,SRR10255745
GCA_001596175.2	PRJNA315668	SAMN04567744	SRR3240412
GCA_001618465.2	PRJNA315668	SAMN04590540	SRR3313004
GCA_001618505.2	PRJNA315668	SAMN04567738	SRR3240406
GCA_001618545.2	PRJNA315668	SAMN04567745	SRR3240413
GCA_001641185.1	PRJNA311731	SAMN04487986	SRR3184081,SRR3184082
GCA_001675285.1	PRJDB2834	SAMD00016624	DRR016064
GCA_001677935.1	PRJNA286099	SAMN03764887	SRR3667132
GCA_001677955.1	PRJNA286103	SAMN03764910	SRR3666021
GCA_001693475.1	PRJNA326914	SAMN05294120	SRR3736780
GCA_001748465.2	PRJDB5044	SAMD00056696	DRR165669
GCA_001809725.1	PRJNA296267	SAMN04477527	SRR3150392
GCA_001887135.1	PRJNA335396	SAMN05504825	SRR5184288
GCA_001887145.1	PRJNA335403	SAMN05504827	SRR5184287
GCA_001975985.1	PRJNA360555	SAMN06249474	SRR5197903
GCA_001995115.1	PRJNA369093	SAMN06277069	SRR5210293,SRR5210294,SRR5210295,SRR5210296
GCA_002002525.1	PRJNA352299	SAMN06014515	SRR5026188
GCA_002007065.3	PRJNA370526	SAMN06295817	SRR10063223,SRR10063224
GCA_002017935.1	PRJNA363097	SAMN06263772	SRR5204265
GCA_002017945.1	PRJNA363098	SAMN06263773	SRR5204211
GCA_002023105.1	PRJNA315668	SAMN04567744	SRR3240412
GCA_002150145.1	PRJNA335404	SAMN05504828	SRR5184279
GCA_002150205.1	PRJNA356714	SAMN06121432	SRR5184289
GCA_002150215.1	PRJNA335402	SAMN05504826	SRR5184284
GCA_002150245.1	PRJNA335405	SAMN05504832	SRR5184285
GCA_002150295.1	PRJNA356780	SAMN06127406	SRR5170143
GCA_002208925.2	PRJNA231221	SAMN06173350	SRR5419952,SRR5419953
GCA_002216065.1	PRJNA391544	SAMN07270375	SRR5772117
GCA_002217195.1	PRJNA354433	SAMN06049052	SRR5064655
